mask_size_class,xai_method,concept,n,mean_iou,mean_dice,mean_sir,mean_tixai,mean_pearson_corr,mean_concept_area
tiny,gradcam,border_w16_dil6_sigma10,285,0.007850020495592433,0.015455964507697314,0.018757103281933,0.29339395856256023,0.07143117917679973,0.005383016693519513
very_tiny,shap,border_w16_dil6_sigma10,99,0.002453836225288291,0.004838714618093404,0.002042448604385359,0.1350129150380992,0.029428293143913042,0.000656678391053391
very_tiny,lime,border_w16_dil6_sigma10,99,0.001335008748841698,0.0026459515987335277,0.0013407466490988177,0.11219186463741342,0.009959725530833343,0.000656678391053391
very_tiny,gradcam,border_w16_dil6_sigma10,99,0.0012644451440380219,0.002496727761091702,0.0044062097810886125,0.06754652177444612,0.020829149626682305,0.000656678391053391
normal,shap,border_w16_dil6_sigma10_dist,11254,0.00801922344111955,0.015808015463810356,0.007037568571964335,0.5143876421017536,0.052422804860340934,0.005808826079525466
normal,lime,border_w16_dil6_sigma10_dist,11254,0.006660580442049294,0.013173294711830864,0.006750025530031076,0.45519210844229024,0.03226727601083284,0.005808826079525466
normal,gradcam,border_w16_dil6_sigma10_dist,11254,0.005997767010596591,0.011866235448192127,0.004513613553162055,0.1810227877146045,0.0010604051015349885,0.005808826079525466
small,shap,border_w16_dil6_sigma10_dist,971,0.017529715242535285,0.034353280846235366,0.013026100802177757,0.6887180717119105,0.1688655891137467,0.005664735722430063
small,lime,border_w16_dil6_sigma10_dist,971,0.01019356227771864,0.020109097894376933,0.01036896944019734,0.6011072984435255,0.08709553830362661,0.005664735722430063
small,gradcam,border_w16_dil6_sigma10_dist,971,0.007293538805006748,0.014386441451131679,0.01257924452491691,0.2626565790446964,0.057158963252600135,0.005664735722430063
tiny,shap,border_w16_dil6_sigma10_dist,285,0.015738951221736432,0.030935592155832737,0.012195235195880135,0.7188491971869218,0.1627796673032726,0.0045309283252774795
tiny,lime,border_w16_dil6_sigma10_dist,285,0.009519960985770267,0.018811095643576106,0.009761170813892437,0.6424536128708145,0.08111006733294156,0.0045309283252774795
tiny,gradcam,border_w16_dil6_sigma10_dist,285,0.006551658943284063,0.012936244743855345,0.015513637644471601,0.29461308398136965,0.07023515373730574,0.0045309283252774795
very_tiny,shap,border_w16_dil6_sigma10_dist,99,0.0028148141702781797,0.00553486675073274,0.002323531310516174,0.13462814056512082,0.030397353682431093,0.0007573341836734694
