mask_size_class,xai_method,concept,n,mean_observed_dice,mean_random_dice,mean_dice_enrichment,mean_dice_z,mean_observed_iou,mean_random_iou,mean_iou_enrichment,mean_iou_z,mean_observed_sir,mean_random_sir,mean_sir_enrichment,mean_sir_z,mean_concept_area_ratio_lesion
normal,shap,border_w12_dil4_sigma8,11252,0.0121919018011311,0.021882040233473593,0.5210742290661967,-6.886030474159947,0.006164111149920079,0.01110778285128378,0.5193021417571393,-6.835415475469766,0.005391624786731955,0.008679758987690097,0.6194339839133723,-6.810098101892696,0.024859643790821933
small,gradcam,border_w12_dil4_sigma8,971,0.010719028134541815,0.011544758634248605,1.0097186820092288,-3.9811917055816317,0.005418937191287295,0.005843458968033439,1.0097844040128545,-3.943718679807359,0.009153421636885517,0.013648978700826079,1.1039442879177512,-4.0851359142362496,0.1272441925219569
small,lime,border_w12_dil4_sigma8,971,0.014696736609974755,0.01924905428397546,0.8936664038319874,-6.51739689368239,0.007428342099845634,0.00975705023359157,0.8932629543929672,-6.472119291057646,0.007553672020375801,0.009955025483911554,0.8885361331874159,-6.567307682304754,0.1272441925219569
small,shap,border_w12_dil4_sigma8,971,0.025545582343501513,0.027866293647170175,0.927596359488097,-2.0839835615104554,0.012978648749506405,0.014177626866922954,0.9268124158160337,-2.0739004664315193,0.009593554255401477,0.011435092796412527,0.8759781780782203,-2.4466118324908757,0.1272441925219569
tiny,gradcam,border_w12_dil4_sigma8,285,0.010659805282756027,0.011149922331281294,1.083027327008732,-3.718833584791781,0.005387761832797431,0.005642205003795101,1.083294648982208,-3.679465886729895,0.012547171440714822,0.013810091402123921,1.3121415458244496,-2.3556844321506434,0.2601424342664942
tiny,lime,border_w12_dil4_sigma8,285,0.015807917681490525,0.018020355036989302,0.9616995489847697,-4.02517562192179,0.007988724103036561,0.009119868049867938,0.9614920812733978,-4.003274135184313,0.008181302474194829,0.009311656532838193,0.9607139350755609,-4.0069217732411975,0.2601424342664942
tiny,shap,border_w12_dil4_sigma8,285,0.02626758652827821,0.02744803231334401,0.9622096776244873,-1.31161558655456,0.013338153638070897,0.013946135880212549,0.9617797568867316,-1.3071087840223354,0.010379074932598834,0.011777295748147606,0.9076782483870643,-1.8260753745284697,0.2601424342664942
very_tiny,gradcam,border_w12_dil4_sigma8,99,0.009495615844558988,0.009549178126164038,1.000592805666208,-3.3042435436540885,0.004799624523806776,0.004827262671615891,1.0005775551108067,-3.298474664955934,0.011795175117808133,0.012164987755340424,1.2504884455235319,-1.1233758837193377,0.26917454886744835
very_tiny,lime,border_w12_dil4_sigma8,99,0.010976912724773871,0.011265137250731458,1.1047699574970486,-0.4632719910486232,0.005528568675123484,0.005677036842689821,1.1050894163545586,-0.4561088372049927,0.005864198727067515,0.005937893284238838,1.1163588334495271,-0.2749747469698987,0.26917454886744835
very_tiny,shap,border_w12_dil4_sigma8,99,0.02108704366853862,0.021206850772836662,0.9974355005190743,-0.24563264862435932,0.010668228048080219,0.010729373617340993,0.9974218237440958,-0.24439065310131577,0.00886210985175378,0.009302799993984992,0.9685125391466716,-0.5764904199461989,0.26917454886744835
normal,gradcam,border_w16_dil6_sigma10,11252,0.016826474731976064,0.021648158235718896,0.9649044537382421,-6.796963505753349,0.008544052113592656,0.011032578683096634,0.966371558464039,-6.630290383101462,0.00653085170314658,0.012072451807656941,1.639432256160766,-3.020396682683497,0.046371481269802665
normal,lime,border_w16_dil6_sigma10,11252,0.019148657179232326,0.02696673406761013,0.7798715432166892,-6.862886647205766,0.009729916147320892,0.01374750145370764,0.7801075543885061,-6.762260138169568,0.009919148367078497,0.014055585688036488,0.7756399489352963,-6.880180081082229,0.046371481269802665
normal,shap,border_w16_dil6_sigma10,11252,0.022860806700301835,0.03967536288016084,0.5270342474868932,-9.145001287288986,0.01166989842773212,0.02038865667726509,0.5237293121921668,-9.031012258504482,0.010245224121262952,0.01608154526397918,0.6260467029280046,-9.098201021483636,0.046371481269802665
small,gradcam,border_w16_dil6_sigma10,971,0.01941296938373467,0.020733569299421963,1.001154999091367,-4.771614871209304,0.009893042594689252,0.010585748967061126,1.0011609567610693,-4.69743448861853,0.017883729351827842,0.0248467235545544,1.026362250563326,-5.030737527438364,0.2283414536413154
small,lime,border_w16_dil6_sigma10,971,0.028684537989587255,0.034474603544110756,0.9249150185077369,-6.565389115817833,0.01462747727613392,0.017645285172089777,0.9241095967356093,-6.498521204793712,0.014926065039283745,0.018032252151053394,0.9210545297295561,-6.628185832022358,0.2283414536413154
small,shap,border_w16_dil6_sigma10,971,0.046115911981575414,0.04969091095748858,0.9332081118383675,-2.5436771201386286,0.023706918067953497,0.025598540012111832,0.9318384522723518,-2.5275405515806706,0.017910539403262316,0.020750903762005564,0.8888655756071132,-3.156074260177768,0.2283414536413154
tiny,gradcam,border_w16_dil6_sigma10,285,0.015510386917935643,0.016004610829013343,1.0516534029434121,-3.23823802319396,0.007877661412830392,0.008140000417012261,1.0517762556794787,-3.1982806931671965,0.01882314942024965,0.020328136106008858,1.199920788954157,-2.366388070431881,0.35997193256439347
tiny,lime,border_w16_dil6_sigma10,285,0.023431035401757838,0.025357838985619007,0.9769232256682118,-3.1840057896380975,0.011893234512275273,0.012888446730148656,0.976621309865321,-3.164202070315882,0.012200189586558653,0.013200354309954724,0.9759580829471494,-3.1788758119767975,0.35997193256439347
tiny,shap,border_w16_dil6_sigma10,285,0.03698536050659125,0.038366590659661436,0.965569692254138,-1.368437173477459,0.018882487427178934,0.019600760572840725,0.9649905611989491,-1.3643819247096294,0.014911857054857359,0.016542333608245578,0.9173169248836145,-2.1310445846821215,0.35997193256439347
very_tiny,shap,border_w16_dil6_sigma10,99,0.026612930399513672,0.02632452870676276,1.022007558356686,0.26574224814729647,0.013496099239085561,0.013349331831893943,1.0221861635420408,0.26644601760774833,0.011233467324119412,0.011454753778460905,0.9959534949012726,-0.03655624342586957,0.06952976481517673
very_tiny,lime,border_w16_dil6_sigma10,99,0.01455273379303436,0.015673369036850793,0.9673675135717855,-1.7595429194239676,0.0073425481186292895,0.007910768930306795,0.9672280281407799,-1.7520823554154992,0.007374106570043444,0.007940618907450656,0.9673675091785612,-1.7595430993811332,0.06952976481517673
very_tiny,gradcam,border_w16_dil6_sigma10,99,0.013732002686004309,0.013770754927869505,0.9986302300307917,-3.10498334737338,0.006954448292209066,0.006974449784621934,0.9986085230043868,-3.104094119988593,0.02423415379598735,0.02700849911653978,0.8471515547022237,-4.740625622236952,0.06952976481517673
normal,gradcam,border_w16_dil6_sigma10_dist,11252,0.011868344626195673,0.015434798664472489,0.9811080618588454,-5.861824290775338,0.005998833090761959,0.007822506997211778,0.9823278028206806,-5.756494806211248,0.004514415830722142,0.008572034349611006,1.8002350300042151,-2.4517203337930495,0.03296841197389219
normal,lime,border_w16_dil6_sigma10_dist,11252,0.013175636214623537,0.01923778760840588,0.7687320707608811,-6.2762832582630015,0.006661764334769131,0.009751717807364875,0.7690323953064726,-6.206637060207277,0.006751225321273483,0.009926651754194528,0.7643001433883493,-6.294351922344054,0.03296841197389219
normal,shap,border_w16_dil6_sigma10_dist,11252,0.01581082527814799,0.028457921377218448,0.5092374546134888,-8.034089992035355,0.008020648827440358,0.014508723970682128,0.5069040723475404,-7.9588312369700525,0.007038819472883584,0.011361113856439993,0.6115879631704947,-7.910038023799278,0.03296841197389219
small,gradcam,border_w16_dil6_sigma10_dist,971,0.014386441451131634,0.015495732063221149,1.0093103179680483,-4.544837499845374,0.007293538805006705,0.007868242700264547,1.0093406235142037,-4.488887621102843,0.012579244524916895,0.018424417863063338,1.0600819546434108,-4.770180467474322,0.1704155379581611
small,lime,border_w16_dil6_sigma10_dist,971,0.020109097894376884,0.025805336373745522,0.9087504560722873,-7.2163215295181615,0.010193562277718591,0.013127090630933529,0.908205240680413,-7.152280732016809,0.010368969440197294,0.01338693597278237,0.9041051478607715,-7.277044427320864,0.1704155379581611
