dataset,xai_method,concept,n,mean_observed_dice,mean_random_dice,mean_dice_enrichment,mean_dice_z,mean_observed_iou,mean_random_iou,mean_iou_enrichment,mean_iou_z,mean_observed_sir,mean_random_sir,mean_sir_enrichment,mean_sir_z,mean_concept_area_ratio_lesion
isic2018,lime,border_w12_dil4_sigma8,2594,0.010249312561490075,0.014057816804754078,0.8284811634963142,-4.91212599337936,0.00517004342792955,0.00710293608331448,0.8287464535883227,-4.873823236233731,0.005216905427448853,0.007173199161119762,0.8266187082271571,-4.90587855841031,0.05720478272247789
isic2018,shap,border_w12_dil4_sigma8,2594,0.014567287663611522,0.021004285685889447,0.6597744473262731,-4.820008309390433,0.0073739219138183884,0.010654372649297436,0.6586860466243667,-4.78572987382266,0.006045587629540319,0.008456566293943596,0.7146805119692025,-4.832595644138716,0.05720478272247789
isic2018,gradcam,border_w16_dil6_sigma10,2594,0.015125754883609859,0.019402085266119234,0.9532093752203089,-6.226997680142633,0.007673941590470515,0.009866371571269851,0.9547385455602972,-6.0847110210706274,0.008872108678246034,0.015009534190227526,1.6394990156180043,-3.095895998639048,0.09284984985791467
isic2018,lime,border_w16_dil6_sigma10,2594,0.019370535984441068,0.025592944675480116,0.8367891187258929,-6.02007322956873,0.009842864174573437,0.013039211088252917,0.8370283223408127,-5.941251233556317,0.00999372946700505,0.01323415199246407,0.8351433650030915,-6.010370417631055,0.09284984985791467
isic2018,shap,border_w16_dil6_sigma10,2594,0.027087042312014146,0.038170414933087156,0.6663357229917984,-6.348579338701043,0.013851946058230117,0.019591374086828563,0.6642857694227223,-6.271550672383525,0.01141730168851989,0.015589625991404121,0.7241979747218645,-6.37836020002436,0.09284984985791467
isic2018,gradcam,border_w16_dil6_sigma10_dist,2594,0.01118836735151069,0.014421401333404513,0.9657474826287901,-5.4492456280007,0.005654214420958735,0.0073004549518419955,0.9670289926725264,-5.356178395438046,0.00646577406282419,0.011143909468312133,1.824920816369354,-2.6224106605428106,0.07178902614207415
isic2018,lime,border_w16_dil6_sigma10_dist,2594,0.013982644757968845,0.01910959732621924,0.8297370002696393,-5.852663329387087,0.00707285671972178,0.009687824497973556,0.8300157681511068,-5.793625886565923,0.0071539706670953485,0.009799550638515928,0.8279830783416067,-5.845565610984898,0.07178902614207415
isic2018,shap,border_w16_dil6_sigma10_dist,2594,0.020006920586812093,0.028659592562986207,0.6547369794958132,-5.688925322603774,0.010169975912133648,0.014609845448836555,0.6532085191915719,-5.635707237816403,0.008294826637008897,0.011562008429382369,0.7118289889457549,-5.6940000774691315,0.07178902614207415
isic2018,gradcam,border_w8_dil2_sigma5,2594,0.003123440368457629,0.0040765219849390084,0.9397624593091384,-2.803327688622454,0.0015677156229004742,0.0020470842546737463,0.9400929567750126,-2.7878832326546714,0.001828637060178446,0.0030452887888378975,2.661089986243779,-1.1508723254925366,0.021762502335590118
isic2018,lime,border_w8_dil2_sigma5,2594,0.003695543677609852,0.005225903385440937,0.8326418602473794,-3.1974131174860085,0.0018545701158785375,0.002624358307076456,0.8328372893351497,-3.186667458114022,0.0018599937669682687,0.002640600619512521,0.8301967045086002,-3.1984012692777495,0.021762502335590118
isic2018,shap,border_w8_dil2_sigma5,2594,0.005177367500683501,0.007737499574797533,0.6626004413753362,-2.969368639491482,0.0026007831628804224,0.0038909898208540667,0.6622224514652851,-2.960253818094436,0.0021361436696306453,0.003098418486996371,0.7135729503205022,-2.9841248169208305,0.021762502335590118
isic2018,gradcam,colour_heterogeneity,2594,0.07353621734733205,0.07314733547633773,1.0789335122731152,1.1029513865276317,0.04083301293980198,0.04019121940638806,1.0864409619976434,1.8980338345658947,0.06377398288187953,0.05780724565124562,1.329375144699256,2.8519392701887725,0.18073909358219034
isic2018,shap,colour_heterogeneity,2594,0.1157134902556503,0.11281481399131649,1.0883240269670904,1.2077744036049602,0.06509283773197105,0.06259206125295673,1.1039308192754926,1.8574974903375692,0.06320788186035778,0.05863960537511539,1.1425928150683267,5.155994306910994,0.18073909358219034
isic2018,lime,colour_heterogeneity,2594,0.08161853000796558,0.08656762930164967,1.0095247439537756,-3.2725456821261956,0.044677095715073334,0.04735079782726523,1.014078030679029,-2.8841641730206953,0.049363023117890426,0.05242662086523529,1.0092232095308016,-3.264050436816061,0.18073909358219034
