dataset,stem,xai_method,concept,top_k_percent,iou,dice,sir,inside_outside_ratio,pearson_corr,concept_area_ratio,xai_area_ratio,xai_path,pseudo_npz_path
ham10000,ISIC_0025439,gradcam,asymmetry,20,0.024989175480902463,0.048759881721049565,0.052771025448744076,0.38582316533952,-0.12140211288288968,0.12617586096938777,0.20408163265306123,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0025439.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025439.npz
ham10000,ISIC_0025439,gradcam,border_default,20,0.0,0.0,0.0010419077874501035,0.9170849035626811,-0.051573795447575614,0.001136001275510204,0.20408163265306123,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0025439.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025439.npz
ham10000,ISIC_0025439,gradcam,border_w8_dil2_sigma5,20,0.0,0.0,0.0010419077874501035,0.9170849035626811,-0.051573795447575614,0.001136001275510204,0.20408163265306123,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0025439.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025439.npz
ham10000,ISIC_0025439,gradcam,border_w12_dil4_sigma8,20,0.0,0.0,0.0015410772204334767,0.9913339392899241,-0.05878674621073781,0.0015545280612244898,0.20408163265306123,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0025439.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025439.npz
ham10000,ISIC_0025439,gradcam,border_w16_dil6_sigma10,20,0.0,0.0,0.002150699372564691,1.1607057534316496,-0.061586560054551216,0.0018534757653061226,0.20408163265306123,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0025439.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025439.npz
ham10000,ISIC_0025439,gradcam,border_w16_dil6_sigma10_dist,20,0.0,0.0,0.0017543430382554648,1.1585137960012055,-0.06109340355258711,0.0015146683673469387,0.20408163265306123,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0025439.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025439.npz
ham10000,ISIC_0025439,gradcam,colour_heterogeneity,20,0.17444036834605492,0.2970612609164932,0.2300741599196356,2.4538651447399715,0.4156275610862814,0.10855787627551021,0.20408163265306123,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0025439.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025439.npz
ham10000,ISIC_0025439,lime,asymmetry,20,0.10405127031352526,0.18848992453761154,0.12142515256667423,0.9571447585480081,-0.03695941429002871,0.12617586096938777,0.3544921875,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/lime/ham10000_ISIC_0025439.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025439.npz
ham10000,ISIC_0025439,lime,border_default,20,0.0,0.0,0.0008525786765583187,0.7502956623407292,-0.06559431865822993,0.001136001275510204,0.3544921875,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/lime/ham10000_ISIC_0025439.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025439.npz
ham10000,ISIC_0025439,lime,border_w8_dil2_sigma5,20,0.0,0.0,0.0008525786765583187,0.7502956623407292,-0.06559431865822993,0.001136001275510204,0.3544921875,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/lime/ham10000_ISIC_0025439.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025439.npz
